"","name","gene"
"1","hsa00010.xml-1","ALDH2, ALDH1B1, ALDH9A1, ALDH3A2, ALDH7A1, ALDH3A1, ALDH3B1, ALDH3B2, ACSS2, ACSS1, ADH1A, ADH1B, ADH1C, ADH4, ADH5, ADH6, ADH7, AKR1A1"
"2","hsa00010.xml-2","ALDOA, ALDOB, ALDOC, ENO1, ENO2, ENO3, ENO4, PGAM4, PGAM1, PGAM2, BPGM, GAPDH, GAPDHS, TPI1, PFKL, PFKM, PFKP, FBP1, FBP2, PCK1, PCK2, MINPP1, PGK1, PGK2"
"3","hsa00010.xml-3","PDHA1, PDHA2, PDHB, DLAT, LDHAL6A, LDHA, LDHB, LDHC, LDHAL6B, PKLR, PKM, DLD"
"4","hsa00010.xml-4","GPI, PGM1, PGM2, GALM, ADPGK, G6PC1, G6PC2, G6PC3, HK1, HK2, HK3, HKDC1, GCK"
"5","hsa00020.xml-1","DLD, ACLY, CS, MDH1, MDH2, PC, PDHA1, PDHA2, PDHB, DLAT, PCK1, PCK2"
"6","hsa00020.xml-2","OGDH, OGDHL, ACO1, ACO2, IDH3A, IDH3B, IDH3G, IDH1, IDH2"
"7","hsa00020.xml-3","DLST, SUCLG2, SUCLG1, SUCLA2, FH, SDHA, SDHB, SDHC, SDHD"
"8","hsa00030.xml-1","RBKS, PGM2, PRPS1L1, PRPS1, PRPS2, TKTL1, TKTL2, RPIA, RPE, RPEL1, PGD, PGM1"
"9","hsa00030.xml-2","DERA, TKT, ALDOA, ALDOB, ALDOC, PFKL, PFKM, PFKP, FBP1, FBP2, TALDO1"
"10","hsa00030.xml-3","GPI, PGLS, G6PD, IDNK, H6PD, RGN"
"11","hsa00040.xml-1","GUSB, KL, FGGY, RPE, RPEL1, CRPPA, XYLB, AKR1B1, AKR1B10, DCXR, CRYL1, UGP2, UGT2B11, UGT2A1, UGT2B28, UGT1A10, UGT1A8, UGT1A7, UGT1A6, UGT1A5, UGT1A9, UGT1A4, UGT1A1, UGT1A3, UGT2A2, UGT2B4, UGT2B7, UGT2B10, UGT2B15, UGT2B17, UGT2A3, UGDH, DHDH, SORD, AKR1A1"
"12","hsa00051.xml-1","AKR1B1, AKR1B10, SORD, KHK, HK1, HK2, HK3, HKDC1, PFKFB1, PFKFB2, PFKFB3, PFKFB4, TIGAR, MPI, PMM1, PMM2, FPGT, GFUS, GMDS, GMPPB, GMPPA, PFKL, PFKM, PFKP, TPI1, ALDOA, ALDOB, ALDOC, TKFC, FBP1, FBP2, FCSK, ENOSF1"
"13","hsa00052.xml-1","GLA, AKR1B1, AKR1B10, GALM, GAA, GANC, MGAM, MGAM2, SI, GALK1"
"14","hsa00052.xml-2","GCK, HK1, HK2, HK3, HKDC1, LCT, GLB1, PGM1, PGM2, G6PC1, G6PC2, G6PC3"
"15","hsa00052.xml-3","B4GALT1, LALBA, B4GALT2, GALE, UGP2, GALT"
"16","hsa00053.xml-1","MIOX, UGDH, RGN, UGT2B11, UGT2A1, UGT2B28, UGT1A10, UGT1A8, UGT1A7, UGT1A6, UGT1A5, UGT1A9, UGT1A4, UGT1A1, UGT1A3, UGT2A2, UGT2B4, UGT2B7, UGT2B10, UGT2B15, UGT2B17, UGT2A3, ALDH2, ALDH1B1, ALDH9A1, ALDH3A2, ALDH7A1, AKR1A1, GUSB, KL"
