"","name","ENTREZID","SYMBOL"
"1","hsa00010.xml-1","217","ALDH2"
"2","hsa00010.xml-1","219","ALDH1B1"
"3","hsa00010.xml-1","223","ALDH9A1"
"4","hsa00010.xml-1","224","ALDH3A2"
"5","hsa00010.xml-1","501","ALDH7A1"
"6","hsa00010.xml-1","218","ALDH3A1"
"7","hsa00010.xml-1","221","ALDH3B1"
"8","hsa00010.xml-1","222","ALDH3B2"
"9","hsa00010.xml-1","55902","ACSS2"
"10","hsa00010.xml-1","84532","ACSS1"
"11","hsa00010.xml-1","124","ADH1A"
"12","hsa00010.xml-1","125","ADH1B"
"13","hsa00010.xml-1","126","ADH1C"
"14","hsa00010.xml-1","127","ADH4"
"15","hsa00010.xml-1","128","ADH5"
"16","hsa00010.xml-1","130","ADH6"
"17","hsa00010.xml-1","131","ADH7"
"18","hsa00010.xml-1","10327","AKR1A1"
"19","hsa00010.xml-2","226","ALDOA"
"20","hsa00010.xml-2","229","ALDOB"
"21","hsa00010.xml-2","230","ALDOC"
"22","hsa00010.xml-2","2023","ENO1"
"23","hsa00010.xml-2","2026","ENO2"
"24","hsa00010.xml-2","2027","ENO3"
"25","hsa00010.xml-2","387712","ENO4"
"26","hsa00010.xml-2","441531","PGAM4"
"27","hsa00010.xml-2","5223","PGAM1"
"28","hsa00010.xml-2","5224","PGAM2"
"29","hsa00010.xml-2","669","BPGM"
"30","hsa00010.xml-2","2597","GAPDH"
"31","hsa00010.xml-2","26330","GAPDHS"
"32","hsa00010.xml-2","7167","TPI1"
"33","hsa00010.xml-2","5211","PFKL"
"34","hsa00010.xml-2","5213","PFKM"
"35","hsa00010.xml-2","5214","PFKP"
"36","hsa00010.xml-2","2203","FBP1"
"37","hsa00010.xml-2","8789","FBP2"
"38","hsa00010.xml-2","5105","PCK1"
"39","hsa00010.xml-2","5106","PCK2"
"40","hsa00010.xml-2","9562","MINPP1"
"41","hsa00010.xml-2","5230","PGK1"
"42","hsa00010.xml-2","5232","PGK2"
"43","hsa00010.xml-3","5160","PDHA1"
"44","hsa00010.xml-3","5161","PDHA2"
"45","hsa00010.xml-3","5162","PDHB"
"46","hsa00010.xml-3","1737","DLAT"
"47","hsa00010.xml-3","160287","LDHAL6A"
"48","hsa00010.xml-3","3939","LDHA"
"49","hsa00010.xml-3","3945","LDHB"
"50","hsa00010.xml-3","3948","LDHC"
"51","hsa00010.xml-3","92483","LDHAL6B"
